identifier,dr7obid_complete,List_num,RA_deg,Dec_deg,PETROR50_R_arcsec,redshift,REDSHIFT_ERR,ang_arcsec,angsize_to_petro,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,MorphType
1636084623865833472,588298663574765672,513,188.4984436,47.7239151,2.493211,0.029015,8.49E-05,12.34918066,4.953122965,123.9451019,343.1120073,24202.94729,8511.476089,Ir
2053798993690912768,587736526445805768,222,212.2732544,7.75901556,3.7534602,0.0697785,0.000141879,19.93970048,5.312351649,283.9423592,212.4982854,89526.07797,19889.63189,Ir
2472645579507787776,587739720310194279,29,241.4458466,17.30747223,3.0884578,0.0363605,7.24E-05,18.88581636,6.114966623,153.954784,224.356315,45975.84218,10609.57023,Ir
886097284381566976,588011123045433556,143,210.5888062,59.4189682,6.8336654,0.0321112,0.000103782,33.48699291,4.900297417,136.6598672,126.5312827,72363.22044,9398.524856,Ir
946933538547066880,588010878758879406,487,179.5546265,4.662264824,4.057673,0.0551467,8.02E-05,14.79954926,3.647299638,228.3164166,286.3027846,53430.14715,15878.21517,Ir
1537994442420545536,588017604681072765,238,174.4185368,44.39175702,6.1583652,0.0337926,9.12E-05,29.74127411,4.82941059,143.5246342,142.4670694,67497.35593,9878.596627,Ir
494383065414526976,588007005770809406,317,122.1337357,45.60112,5.1851745,0.0470697,0.000206483,25.42597882,4.903591735,196.7589656,166.6465702,79106.64278,13629.75167,Ir
1533600518859941888,588017627222311028,96,163.2416612,43.41047017,6.062661,0.0256223,8.53E-05,30.33242972,5.00315451,109.9022152,139.6904964,52712.59399,7534.933783,Ir
533765924717619200,587725075529334954,100,140.1924209,0.60472036,6.744145,0.0238185,8.24E-05,33.74199947,5.00315451,102.3885946,125.5750172,54628.98587,7013.77827,Ir
2828372231464183808,587742775631741054,189,178.4088132,18.31616834,6.7435856,0.0203378,0.000112421,37.48800079,5.559060567,87.7961199,113.0268906,52043.72163,6004.25048,Ir
1940086958336272384,587736915147817127,368,233.7139435,9.424547195,2.2586105,0.0732351,8.94E-05,13.81132782,6.114966623,296.8001335,306.7881828,64818.6927,20826.03111,Ir
1374844778688047104,587734893821165802,21,166.7932281,10.27031994,8.453288,0.0300459,0.000176208,24.96526587,2.95332016,128.1892107,169.7218923,50604.41527,8807.262142,Ir
1464928045004515328,587734949122933084,285,138.9711878,8.8322169,6.196172,0.0285979,0.000108448,25.11032877,4.052555153,122.2249148,168.7414053,48530.28974,8391.677052,Ir
986338110654670848,587732134843318383,398,162.7541656,49.89628983,4.8987174,0.0224428,8.43E-05,15.91957737,3.249743977,96.63593089,266.15984,24326.01165,6615.389362,Ir
495527382275352576,587725775071805661,316,123.3570709,49.43568802,3.835579,0.0704241,7.94E-05,15.54389544,4.052555153,286.3519532,272.5926831,70381.86295,20064.84664,Ir
2285733824878897152,588017977813696599,171,168.6423035,38.01513672,4.95231,0.0285641,7.36E-05,19.86881432,4.012029601,122.0854416,213.2564177,38356.28807,8381.9659,Ir
1070745969924007936,587729385539240072,263,171.0723637,58.16054268,5.197322,0.0390035,7.87E-05,26.003005,5.00315451,164.622261,162.9485578,67688.18107,11359.15506,Ir
607019237935966208,587726016162889975,522,226.1689301,2.554571867,4.311938,0.0425718,7.99E-05,19.41596285,4.502839059,178.9162858,218.2303396,54929.99357,12366.76148,Ir
2937539177622824960,587742865824022785,373,181.8773041,18.68399239,6.406007,0.00263692,0.000142575,21.02816431,3.282569674,11.63223413,201.4989089,3867.810953,788.9326066,Ir
1571922348418820096,588298664658665599,371,220.8797302,42.71297455,5.739814,0.0181649,0.000110054,20.93482152,3.647299638,78.62335388,202.3973388,26026.84769,5371.415386,Ir
