#Wavelength          Flux                Uncertainty          Subtracted Sky
#[Angstrom]   [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A]
3936.41            14.736200                2.079097              -5.112001
3937.31            17.077400                2.106206              -2.738823
3938.22            16.871100                2.167210              -2.903767
3939.13            16.638800                2.174581              -3.096081
3940.03            17.337300                2.179104              -2.390736
3940.94            17.628700                2.213636              -2.099335
3941.85            17.023400                2.188441              -2.721249
3942.76            15.969500                2.131044              -3.780884
3943.66            15.042600                2.075457              -4.695786
3944.57            14.601700                2.052981              -5.157568
3945.48            15.136500                2.106449              -4.640565
3946.39            17.128600                2.167347              -2.630669
3947.30            14.872200                2.193805              -4.869480
3948.21            13.111900                2.188991              -6.647367
3949.12            15.309700                2.243247              -4.431980
3950.03            16.388200                2.243286              -3.332687
3950.94            13.955000                2.161997              -5.780827
3951.85            16.589900                2.186583              -3.162666
3952.76            18.316900                2.215917              -1.418701
3953.67            20.701000                2.283891               0.965399
3954.58            21.386100                2.214933               1.650499
3955.49            15.303900                2.142148              -4.431702
3956.40            19.481000                2.175384              -0.254601
3957.31            20.313200                2.206431               0.577599
3958.22            22.460500                2.222359               2.724899
3959.13            20.511000                2.550929               0.758434
3960.04            14.662900                2.423974              -5.089665
3960.96            16.352200                2.481221              -3.419813
3961.87            20.837100                2.524705               1.047890
3962.78            17.299600                2.156099              -2.507046
3963.69            21.030900                2.157082               1.205202
3964.61            23.361400                2.186253               3.554754
3965.52            20.376100                2.099692               0.586891
3966.43            21.619200                2.023197               1.849497
3967.35            10.808400                1.850339              -8.978683
3968.26            18.124000                1.958140              -1.701696
3969.17            20.987900                2.037222               1.162203
3970.09            18.692300                2.010636              -1.101980
3971.00            19.073700                2.026797              -0.720581
3971.92            19.307200                2.068399              -0.523464
3972.83            18.467800                2.099011              -1.379383
3973.75            19.144000                2.129927              -0.703184
3974.66            20.407100                2.181462               0.520502
3975.58            19.224700                2.181379              -0.701218
3976.49            18.888000                2.191850              -1.079180
3977.41            25.124800                2.305837               5.116171
3978.32            26.872200                2.327836               6.822895
3979.24            27.791500                2.337393               7.701624
3980.16            25.974200                2.313736               5.842321
3981.07            21.782000                2.180161               1.630566
3981.99            18.939100                2.179684              -1.222576
3982.91            19.091000                2.111458              -1.112730
3983.82            15.082700                2.088825              -5.132800
3984.74            18.741000                2.124570              -1.474501
3985.66            17.180200                2.141337              -3.035299
3986.58            18.325900                2.143107              -1.847549
3987.49            23.334100                2.307955               3.201902
3988.41            19.206800                2.308164              -0.925398
3989.33            23.409000                2.457730               3.276802
3990.25            20.374000                2.466498               0.238237
3991.17            17.388600                2.450377              -2.747164
3992.09            17.471800                2.513721              -2.705511
3993.01            19.207500                2.558331              -0.992077
3993.93            20.255900                2.538971               0.048889
3994.85            15.759100                2.424821              -4.447910
3995.77            20.275600                2.427578               0.027321
3996.69            18.602300                2.246357              -1.667206
3997.61            16.365300                2.113291              -3.904207
3998.53            19.160900                2.131373              -1.150534
3999.45            18.760700                2.195201              -1.550734
4000.37            19.323900                2.248474              -1.027927
4001.29            17.319100                2.285662              -3.072550
4002.21            22.871400                2.349510               2.440578
4003.13            26.106300                2.418523               5.650820
4004.05            21.602000                2.222898               1.142302
4004.98            20.280500                2.084474              -0.224049
4005.90            19.107700                1.977598              -1.396849
4006.82            17.457700                1.939664              -3.068180
4007.74            20.007400                1.988634              -0.531973
4008.67            24.003100                2.109188               3.463726
4009.59            23.822500                2.088106               3.235683
4010.51            19.362800                2.045768              -1.233793
4011.44            19.881500                2.034846              -0.755146
4012.36            21.699600                2.014656               1.052153
4013.28            20.035200                1.996859              -0.656565
4014.21            19.218500                1.976277              -1.457502
4015.13            21.275400                1.931323               0.599398
4016.06            20.023600                1.931359              -0.652403
4016.98            14.145300                1.809831              -6.530703
4017.91            18.145900                1.901481              -2.530102
4018.83            22.078300                1.985405               1.424589
4019.76            23.026100                2.048389               2.327656
4020.68            23.979700                2.053834               3.296391
4021.61            24.921800                2.041118               4.207258
4022.54            21.651100                1.984010               0.917347
4023.46            21.016000                1.974381               0.246912
4024.39            20.960800                1.978914               0.149662
4025.32            23.323000                2.004600               2.471334
4026.24            24.042600                2.015691               3.190935
4027.17            16.490300                1.906835              -4.344849
4028.10            19.147900                1.960426              -1.723183
4029.03            23.252200                2.041892               2.399820
4029.95            21.808700                2.029245               0.976931
4030.88            18.764200                1.932891              -2.050255
4031.81            18.549000                1.903816              -2.274775
4032.74            18.441600                1.869900              -2.372066
4033.67            14.539100                1.764459              -6.294234
4034.60            18.423000                1.818293              -2.426788
4035.52            19.305900                1.808871              -1.564039
4036.45            18.722900                1.850688              -2.164879
4037.38            19.578700                1.846159              -1.347553
4038.31            18.141300                1.873014              -2.793228
4039.24            20.203100                1.916201              -0.752821
4040.17            16.771600                1.905187              -4.201614
4041.10            18.352300                1.920313              -2.637522
4042.03            15.526100                1.912630              -5.483980
4042.97             9.681320                1.847296              -11.344530
4043.90            17.660800                1.916821              -3.367765
4044.83            13.226400                1.825757              -7.802166
4045.76            12.810500                1.793039              -8.213771
4046.69            10.313300                1.822607              -10.710970
4047.62             8.237780                1.930801              -12.786490
4048.55            10.328000                2.033962              -10.696270
4049.49            12.833300                2.027918              -8.221876
4050.42            15.285500                1.926568              -5.788317
4051.35            14.791700                1.854787              -6.290169
4052.29            16.473100                1.845832              -4.640549
4053.22            17.725900                1.879902              -3.410467
4054.15            17.221800                1.944219              -3.946730
4055.09            18.774500                1.998665              -2.361868
4056.02            17.298400                1.971003              -3.870129
4056.95            17.162600                1.915586              -4.038307
4057.89            17.936900                1.843203              -3.264008
4058.82            17.564500                1.799085              -3.634995
4059.76            17.329300                1.816552              -3.870195
4060.69            20.438200                1.893318              -0.731535
4061.63            21.851600                2.009094               0.666634
4062.56            19.190500                2.021803              -2.026150
4063.50            19.419700                2.091721              -1.828068
4064.43            23.223700                2.135480               1.945757
4065.37            24.012700                2.098355               2.703526
4066.31            17.701600                1.936767              -3.638985
4067.24            18.009500                1.892016              -3.362877
4068.18            22.123900                1.932213               0.722427
4069.12            19.043700                1.900423              -2.386887
4070.05            18.585200                1.895671              -2.873800
4070.99            23.268600                1.995388               1.781208
4071.93            19.513400                1.956876              -1.987831
4072.86            20.502200                1.982045              -0.999031
4073.80            17.453800                1.954255              -4.047430
4074.74            19.054900                1.974654              -2.446331
4075.68            20.270700                1.951689              -1.230530
4076.62            16.749900                1.890964              -4.751329
4077.56            16.508600                1.900210              -4.992630
4078.50            20.038600                1.976918              -1.462629
4079.43            14.779900                1.965035              -6.721331
4080.37            16.189600                1.955738              -5.311630
4081.31            18.198800                1.981294              -3.302431
4082.25            14.331600                1.930318              -7.169630
4083.19            14.045300                1.917557              -7.455931
4084.13            14.378600                1.917053              -7.122630
4085.07            16.437300                2.066879              -5.063931
4086.02            16.932600                2.063558              -4.568630
4086.96            15.925200                1.981197              -5.576030
4087.90            16.358100                1.918217              -5.157928
4088.84            18.552400                1.877531              -2.978104
4089.78            15.572300                1.835604              -5.967554
4090.72            21.456700                1.891417              -0.111322
4091.66            21.446000                1.933325              -0.141068
4092.61            19.040500                1.882381              -2.575727
4093.55            19.336700                1.907893              -2.309097
4094.49            16.885600                1.887787              -4.789656
4095.43            22.086100                1.943074               0.410845
4096.38            21.194300                1.907546              -0.480955
4097.32            20.799700                1.856668              -0.875469
4098.26            21.703900                1.860379              -0.000126
4099.21            21.524400                1.870866              -0.208654
4100.15            21.742100                1.938436              -0.021399
4101.10            23.137900                2.023819               1.368654
4102.04            23.900600                2.078019               2.102312
4102.99            22.473100                2.074135               0.703855
4103.93            21.389800                2.023711              -0.408489
4104.88            21.924500                2.009236               0.107428
4105.82            21.360300                1.930239              -0.461384
4106.77            19.726000                1.867975              -2.123480
4107.71            21.026700                1.840086              -0.824585
4108.66            20.352000                1.853891              -1.499285
4109.60            22.766900                1.839491               0.911366
4110.55            25.354000                1.870666               3.483763
4111.50            16.773600                1.707502              -5.096638
4112.44            18.749200                1.708628              -3.146170
4113.39            19.374100                1.733016              -2.533850
4114.34            23.445900                1.780594               1.511984
4115.29            24.298400                1.811799               2.339027
4116.23            20.808400                1.796917              -1.176895
4117.18            24.228800                1.837667               2.257622
4118.13            23.291900                1.842959               1.320723
4119.08            23.624400                1.823828               1.678339
4120.03            21.405600                1.802610              -0.519903
4120.98            19.656600                1.819418              -2.260557
4121.92            21.471100                1.820594              -0.446058
4122.87            23.111600                1.825964               1.169102
4123.82            22.391200                1.785307               0.423582
4124.77            21.821500                1.755827              -0.166910
4125.72            22.940200                1.776897               0.947876
4126.67            22.623900                1.785646               0.640755
4127.62            21.832900                1.817365              -0.174276
